source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5203510654637973
1,0,1.0,0,0,0,0,0,1.5203510654637973
1,2,1.0,0,0,0,0,0,1.5294359485910842
2,1,1.0,0,0,0,0,0,1.5294359485910842
2,3,1.0,0,0,0,0,0,1.5305377060534862
3,2,1.0,0,0,0,0,0,1.5305377060534862
3,4,1.0,0,0,0,0,0,1.5319310267323183
4,3,1.0,0,0,0,0,0,1.5319310267323183
4,5,1.0,0,0,0,0,0,1.531283661756819
5,4,1.0,0,0,0,0,0,1.531283661756819
5,6,1.0,0,0,0,4,0,1.5032166050001874
6,5,1.0,0,0,0,4,0,1.5032166050001874
6,7,2.0,0,0,2,0,0,1.3432791551185836
7,6,2.0,0,0,2,0,0,1.3432791551185836
7,8,1.0,0,0,0,3,0,1.503110294825488
8,7,1.0,0,0,0,3,0,1.503110294825488
8,9,1.0,0,0,0,0,0,1.5314422694104706
9,8,1.0,0,0,0,0,0,1.5314422694104706
9,10,1.0,0,0,0,0,0,1.5320589909356213
10,9,1.0,0,0,0,0,0,1.5320589909356213
10,11,1.0,0,0,0,0,0,1.5314494116812984
11,10,1.0,0,0,0,0,0,1.5314494116812984
11,12,1.0,0,0,0,0,0,1.5319074330093314
12,11,1.0,0,0,0,0,0,1.5319074330093314
12,13,1.0,0,0,0,0,0,1.5315810767567144
13,12,1.0,0,0,0,0,0,1.5315810767567144
13,14,1.0,0,0,0,0,0,1.5276293875114533
14,13,1.0,0,0,0,0,0,1.5276293875114533
14,15,1.0,0,0,0,0,0,1.5097354668738712
15,14,1.0,0,0,0,0,0,1.5097354668738712
15,16,2.0,1,0,0,0,0,1.2238157608439786
16,15,2.0,1,0,0,0,0,1.2238157608439786
15,17,1.0,1,0,0,0,0,1.360331305590895
17,15,1.0,1,0,0,0,0,1.360331305590895
17,18,1.0,0,0,0,0,0,1.4390144062376549
18,17,1.0,0,0,0,0,0,1.4390144062376549
18,19,1.0,0,0,0,0,0,1.5352514219009545
19,18,1.0,0,0,0,0,0,1.5352514219009545
19,20,1.0,0,0,0,0,0,1.5325259268170945
20,19,1.0,0,0,0,0,0,1.5325259268170945
20,21,1.0,0,0,0,0,0,1.419269849838
21,20,1.0,0,0,0,0,0,1.419269849838
21,22,1.0,0,0,0,0,0,1.6035856834931554
22,21,1.0,0,0,0,0,0,1.6035856834931554
22,23,2.0,0,0,0,0,0,1.4911563271061667
23,22,2.0,0,0,0,0,0,1.4911563271061667
22,24,1.0,0,0,0,0,0,1.6014250655573161
24,22,1.0,0,0,0,0,0,1.6014250655573161
22,25,1.0,0,0,0,0,0,1.6035542058433283
25,22,1.0,0,0,0,0,0,1.6035542058433283
25,26,1.0,0,0,0,0,0,1.4286845060206506
26,25,1.0,0,0,0,0,0,1.4286845060206506
26,27,1.0,0,1,0,0,0,1.5404286657683957
27,26,1.0,0,1,0,0,0,1.5404286657683957
27,28,1.0,0,0,0,0,0,1.4361120682743556
