source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520207938959107
1,0,1.0,0,0,0,0,0,1.520207938959107
1,2,1.0,0,0,0,0,0,1.5307658611807478
2,1,1.0,0,0,0,0,0,1.5307658611807478
2,3,1.0,0,0,0,0,0,1.532792073851072
3,2,1.0,0,0,0,0,0,1.532792073851072
3,4,1.0,0,0,0,0,0,1.5328002118057038
4,3,1.0,0,0,0,0,0,1.5328002118057038
4,5,1.0,0,0,0,4,0,1.5040963003005916
5,4,1.0,0,0,0,4,0,1.5040963003005916
5,6,2.0,0,0,2,0,0,1.3442578240206942
6,5,2.0,0,0,2,0,0,1.3442578240206942
6,7,1.0,0,0,0,3,0,1.5020172818720934
7,6,1.0,0,0,0,3,0,1.5020172818720934
7,8,1.0,0,0,0,4,0,1.5022953094372167
8,7,1.0,0,0,0,4,0,1.5022953094372167
8,9,2.0,0,0,2,0,0,1.3441869603790346
9,8,2.0,0,0,2,0,0,1.3441869603790346
9,10,1.0,0,0,0,3,0,1.5028756994945733
10,9,1.0,0,0,0,3,0,1.5028756994945733
10,11,1.0,0,0,0,4,0,1.5018711608244022
11,10,1.0,0,0,0,4,0,1.5018711608244022
11,12,2.0,0,0,2,0,0,1.343761898135297
12,11,2.0,0,0,2,0,0,1.343761898135297
12,13,1.0,0,0,0,3,0,1.503284981899361
13,12,1.0,0,0,0,3,0,1.503284981899361
13,14,1.0,0,0,0,0,0,1.5314191225184959
14,13,1.0,0,0,0,0,0,1.5314191225184959
14,15,1.0,0,0,0,0,0,1.5325598961963167
15,14,1.0,0,0,0,0,0,1.5325598961963167
15,16,1.0,0,0,0,0,0,1.5280204092647751
16,15,1.0,0,0,0,0,0,1.5280204092647751
16,17,1.0,0,0,0,0,0,1.5111655836388276
17,16,1.0,0,0,0,0,0,1.5111655836388276
17,18,2.0,1,0,0,0,0,1.2232626391042514
18,17,2.0,1,0,0,0,0,1.2232626391042514
17,19,1.0,1,0,0,0,0,1.359643183278076
19,17,1.0,1,0,0,0,0,1.359643183278076
19,20,1.0,0,0,0,0,0,1.4504354879154269
20,19,1.0,0,0,0,0,0,1.4504354879154269
20,21,1.0,0,0,0,0,0,1.5349745267404296
21,20,1.0,0,0,0,0,0,1.5349745267404296
21,22,1.0,0,0,0,0,0,1.4421725355478825
22,21,1.0,0,0,0,0,0,1.4421725355478825
22,23,1.0,1,0,0,0,0,1.358326845912231
23,22,1.0,1,0,0,0,0,1.358326845912231
23,24,2.0,1,0,0,0,0,1.2236456039556094
24,23,2.0,1,0,0,0,0,1.2236456039556094
23,25,1.0,0,0,0,0,0,1.5087868822901973
25,23,1.0,0,0,0,0,0,1.5087868822901973
25,26,1.0,0,0,0,0,0,1.5268762506291556
26,25,1.0,0,0,0,0,0,1.5268762506291556
26,27,1.0,0,0,0,0,0,1.532081110186446
27,26,1.0,0,0,0,0,0,1.532081110186446
27,28,1.0,0,0,0,0,0,1.5306562294876898
28,27,1.0,0,0,0,0,0,1.5306562294876898
28,29,1.0,0,0,0,0,0,1.5319084469279782
29,28,1.0,0,0,0,0,0,1.5319084469279782
29,30,1.0,0,0,0,0,0,1.5319722681061305
30,29,1.0,0,0,0,0,0,1.5319722681061305
30,31,1.0,0,0,0,0,0,1.5312347564304543
31,30,1.0,0,0,0,0,0,1.5312347564304543
31,32,1.0,0,0,0,0,0,1.5324594915650678
32,31,1.0,0,0,0,0,0,1.5324594915650678
32,33,1.0,0,0,0,0,0,1.532313964607503
33,32,1.0,0,0,0,0,0,1.532313964607503
33,34,1.0,0,0,0,4,0,1.5031387844793156
34,33,1.0,0,0,0,4,0,1.5031387844793156
34,35,2.0,0,0,2,0,0,1.3431412582409337
35,34,2.0,0,0,2,0,0,1.3431412582409337
35,36,1.0,0,0,0,3,0,1.5031108627584073
36,35,1.0,0,0,0,3,0,1.5031108627584073
36,37,1.0,0,0,0,0,0,1.531982088016919
37,36,1.0,0,0,0,0,0,1.531982088016919
37,38,1.0,0,0,0,0,0,1.532148299310977
38,37,1.0,0,0,0,0,0,1.532148299310977
38,39,1.0,0,0,0,0,0,1.530206152832895
39,38,1.0,0,0,0,0,0,1.530206152832895
39,40,1.0,0,0,0,0,0,1.530575573978835
40,39,1.0,0,0,0,0,0,1.530575573978835
40,41,1.0,0,0,0,0,0,1.5308482534079748
41,40,1.0,0,0,0,0,0,1.5308482534079748
41,42,1.0,0,0,0,0,0,1.5296549695547461
42,41,1.0,0,0,0,0,0,1.5296549695547461
42,43,1.0,0,0,0,0,0,1.5208137360620826
