source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5211181842339032
1,0,1.0,0,0,0,0,0,1.5211181842339032
1,2,1.0,0,0,0,0,0,1.529673884016572
2,1,1.0,0,0,0,0,0,1.529673884016572
2,3,1.0,0,0,0,0,0,1.5320535129472692
3,2,1.0,0,0,0,0,0,1.5320535129472692
3,4,1.0,0,0,0,0,0,1.5302344020216312
4,3,1.0,0,0,0,0,0,1.5302344020216312
4,5,1.0,0,0,0,4,0,1.5025934575349922
5,4,1.0,0,0,0,4,0,1.5025934575349922
5,6,2.0,0,0,2,0,0,1.3439695696600718
6,5,2.0,0,0,2,0,0,1.3439695696600718
6,7,1.0,0,0,0,3,0,1.5025545753851421
7,6,1.0,0,0,0,3,0,1.5025545753851421
7,8,1.0,0,0,0,4,0,1.502755349073711
8,7,1.0,0,0,0,4,0,1.502755349073711
8,9,2.0,0,0,2,0,0,1.3438621133311266
9,8,2.0,0,0,2,0,0,1.3438621133311266
9,10,1.0,0,0,0,3,0,1.5027524601306075
10,9,1.0,0,0,0,3,0,1.5027524601306075
10,11,1.0,0,0,0,0,0,1.5317226020774513
11,10,1.0,0,0,0,0,0,1.5317226020774513
11,12,1.0,0,0,0,0,0,1.5329218964567712
12,11,1.0,0,0,0,0,0,1.5329218964567712
12,13,1.0,0,0,0,0,0,1.531155794639563
13,12,1.0,0,0,0,0,0,1.531155794639563
13,14,1.0,0,0,0,0,0,1.532869217166822
14,13,1.0,0,0,0,0,0,1.532869217166822
14,15,1.0,0,0,0,0,0,1.5318098551042352
15,14,1.0,0,0,0,0,0,1.5318098551042352
15,16,1.0,0,0,0,0,0,1.5320569562842365
16,15,1.0,0,0,0,0,0,1.5320569562842365
16,17,1.0,0,0,0,0,0,1.5335483946857007
17,16,1.0,0,0,0,0,0,1.5335483946857007
17,18,1.0,0,0,0,0,0,1.528770113752328
18,17,1.0,0,0,0,0,0,1.528770113752328
18,19,1.0,0,0,0,0,0,1.5105040377874215
19,18,1.0,0,0,0,0,0,1.5105040377874215
19,20,2.0,1,0,0,0,0,1.2230938542160106
20,19,2.0,1,0,0,0,0,1.2230938542160106
19,21,1.0,1,0,0,0,0,1.3607273381369316
21,19,1.0,1,0,0,0,0,1.3607273381369316
21,22,1.0,0,0,0,0,0,1.4381958869035902
22,21,1.0,0,0,0,0,0,1.4381958869035902
22,23,1.0,0,0,0,0,0,1.5362680665325952
23,22,1.0,0,0,0,0,0,1.5362680665325952
23,24,1.0,0,0,0,0,0,1.532898308687294
24,23,1.0,0,0,0,0,0,1.532898308687294
24,25,1.0,0,0,0,0,0,1.4197839066435431
25,24,1.0,0,0,0,0,0,1.4197839066435431
25,26,1.0,0,0,0,0,0,1.6027548067079946
