source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5198100145466726
1,0,1.0,0,0,0,0,0,1.5198100145466726
1,2,1.0,0,0,0,0,0,1.529435807715791
2,1,1.0,0,0,0,0,0,1.529435807715791
2,3,1.0,0,0,0,0,0,1.5313688594161874
3,2,1.0,0,0,0,0,0,1.5313688594161874
3,4,1.0,0,0,0,0,0,1.530984633179462
4,3,1.0,0,0,0,0,0,1.530984633179462
4,5,1.0,0,0,0,0,0,1.531957250253014
5,4,1.0,0,0,0,0,0,1.531957250253014
5,6,1.0,0,0,0,0,0,1.5328877101335763
6,5,1.0,0,0,0,0,0,1.5328877101335763
6,7,1.0,0,0,0,0,0,1.532422371078194
7,6,1.0,0,0,0,0,0,1.532422371078194
7,8,1.0,0,0,0,4,0,1.502575363989699
8,7,1.0,0,0,0,4,0,1.502575363989699
8,9,2.0,0,0,2,0,0,1.3432638827210013
9,8,2.0,0,0,2,0,0,1.3432638827210013
9,10,1.0,0,0,0,3,0,1.5032196771461281
10,9,1.0,0,0,0,3,0,1.5032196771461281
10,11,1.0,0,0,0,0,0,1.5316757083713664
11,10,1.0,0,0,0,0,0,1.5316757083713664
11,12,1.0,0,0,0,0,0,1.5323832640945998
12,11,1.0,0,0,0,0,0,1.5323832640945998
12,13,1.0,0,0,0,0,0,1.5329897821006435
13,12,1.0,0,0,0,0,0,1.5329897821006435
13,14,1.0,0,0,0,0,0,1.5318172297884145
14,13,1.0,0,0,0,0,0,1.5318172297884145
14,15,1.0,0,0,0,0,0,1.5314351059697127
15,14,1.0,0,0,0,0,0,1.5314351059697127
15,16,1.0,0,0,0,0,0,1.5332753849781502
16,15,1.0,0,0,0,0,0,1.5332753849781502
16,17,1.0,0,0,0,0,0,1.5319427137348463
17,16,1.0,0,0,0,0,0,1.5319427137348463
17,18,1.0,0,0,0,0,0,1.532207028094065
18,17,1.0,0,0,0,0,0,1.532207028094065
18,19,1.0,0,0,0,0,0,1.531618626423602
19,18,1.0,0,0,0,0,0,1.531618626423602
19,20,1.0,0,0,0,0,0,1.5318308785578034
20,19,1.0,0,0,0,0,0,1.5318308785578034
20,21,1.0,0,0,0,0,0,1.5329456836487365
21,20,1.0,0,0,0,0,0,1.5329456836487365
21,22,1.0,0,0,0,0,0,1.528238418119995
22,21,1.0,0,0,0,0,0,1.528238418119995
22,23,1.0,0,0,0,0,0,1.5174639315059097
23,22,1.0,0,0,0,0,0,1.5174639315059097
23,24,2.0,1,0,0,0,0,1.2256516610770052
24,23,2.0,1,0,0,0,0,1.2256516610770052
23,25,1.0,1,0,0,0,0,1.3763906458969613
25,23,1.0,1,0,0,0,0,1.3763906458969613
25,26,1.0,0,0,0,0,0,1.4719871941740346
26,25,1.0,0,0,0,0,0,1.4719871941740346
26,27,1.0,0,0,0,0,0,1.5450939261385666
27,26,1.0,0,0,0,0,0,1.5450939261385666
27,28,1.0,0,0,0,0,0,1.4286746764922407
28,27,1.0,0,0,0,0,0,1.4286746764922407
28,29,1.0,0,0,0,0,0,1.4284413912541607
29,28,1.0,0,0,0,0,0,1.4284413912541607
29,30,1.0,0,1,0,0,0,1.4309996302778523
30,29,1.0,0,1,0,0,0,1.4309996302778523
30,31,1.0,0,1,0,0,0,1.4312240779131038
31,30,1.0,0,1,0,0,0,1.4312240779131038
31,32,1.0,0,0,0,0,0,1.5351195881683262
32,31,1.0,0,0,0,0,0,1.5351195881683262
32,33,1.0,0,0,0,0,0,1.4296145590923532
33,32,1.0,0,0,0,0,0,1.4296145590923532
31,34,1.0,0,1,0,0,0,1.540477951931508
34,31,1.0,0,1,0,0,0,1.540477951931508
34,35,1.0,0,0,0,0,0,1.4342303174750146
35,34,1.0,0,0,0,0,0,1.4342303174750146
34,36,1.0,0,1,0,0,0,1.5371613003065474
36,34,1.0,0,1,0,0,0,1.5371613003065474
36,37,1.0,0,0,0,0,0,1.437131358552569
37,36,1.0,0,0,0,0,0,1.437131358552569
36,38,1.0,0,1,0,0,0,1.5329278011512284
38,36,1.0,0,1,0,0,0,1.5329278011512284
38,39,1.0,0,0,0,0,0,1.4401469881055777
39,38,1.0,0,0,0,0,0,1.4401469881055777
26,40,1.0,0,0,0,0,0,1.557195638152442
40,26,1.0,0,0,0,0,0,1.557195638152442
40,41,1.0,0,0,0,0,0,1.434847180308799
41,40,1.0,0,0,0,0,0,1.434847180308799
40,42,1.0,0,0,0,4,0,1.5107254530235914
42,40,1.0,0,0,0,4,0,1.5107254530235914
42,43,2.0,0,0,3,0,0,1.3435552959750487
43,42,2.0,0,0,3,0,0,1.3435552959750487
43,44,1.0,0,0,0,4,0,1.503074371136716
44,43,1.0,0,0,0,4,0,1.503074371136716
44,45,1.0,0,0,0,0,0,1.5332139755859888
45,44,1.0,0,0,0,0,0,1.5332139755859888
45,46,1.0,0,0,0,0,0,1.5344113672386868
46,45,1.0,0,0,0,0,0,1.5344113672386868
46,47,1.0,0,0,0,0,0,1.5308957174919127
47,46,1.0,0,0,0,0,0,1.5308957174919127
47,48,1.0,0,0,0,0,0,1.5330798687232592
48,47,1.0,0,0,0,0,0,1.5330798687232592
48,49,1.0,0,0,0,0,0,1.531591207797747
49,48,1.0,0,0,0,0,0,1.531591207797747
49,50,1.0,0,0,0,0,0,1.5312429455751406
50,49,1.0,0,0,0,0,0,1.5312429455751406
50,51,1.0,0,0,0,0,0,1.5310337943462495
51,50,1.0,0,0,0,0,0,1.5310337943462495
51,52,1.0,0,0,0,0,0,1.5317960258956986
52,51,1.0,0,0,0,0,0,1.5317960258956986
52,53,1.0,0,0,0,0,0,1.5311986498569286
53,52,1.0,0,0,0,0,0,1.5311986498569286
53,54,1.0,0,0,0,0,0,1.5312019456180601
54,53,1.0,0,0,0,0,0,1.5312019456180601
54,55,1.0,0,0,0,0,0,1.5297990075313386
55,54,1.0,0,0,0,0,0,1.5297990075313386
55,56,1.0,0,0,0,0,0,1.5203482067559007
56,55,1.0,0,0,0,0,0,1.5203482067559007
38,29,1.0,0,1,0,0,0,1.5508484346055253
29,38,1.0,0,1,0,0,0,1.5508484346055253
