source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207880320598917
1,0,1.0,0,0,0,0,0,1.5207880320598917
1,2,1.0,0,0,0,0,0,1.5301821348420255
2,1,1.0,0,0,0,0,0,1.5301821348420255
2,3,1.0,0,0,0,0,0,1.5316371430081461
3,2,1.0,0,0,0,0,0,1.5316371430081461
3,4,1.0,0,0,0,0,0,1.53209425194305
4,3,1.0,0,0,0,0,0,1.53209425194305
4,5,1.0,0,0,0,0,0,1.5312717794850976
5,4,1.0,0,0,0,0,0,1.5312717794850976
5,6,1.0,0,0,0,0,0,1.5322167977422236
6,5,1.0,0,0,0,0,0,1.5322167977422236
6,7,1.0,0,0,0,0,0,1.5316479712161406
7,6,1.0,0,0,0,0,0,1.5316479712161406
7,8,1.0,0,0,0,0,0,1.5313424597838536
8,7,1.0,0,0,0,0,0,1.5313424597838536
8,9,1.0,0,0,0,0,0,1.5307881966396761
9,8,1.0,0,0,0,0,0,1.5307881966396761
9,10,1.0,0,0,0,0,0,1.5315202779522505
10,9,1.0,0,0,0,0,0,1.5315202779522505
10,11,1.0,0,0,0,0,0,1.5331254950804596
11,10,1.0,0,0,0,0,0,1.5331254950804596
11,12,1.0,0,0,0,0,0,1.5328860374035957
12,11,1.0,0,0,0,0,0,1.5328860374035957
12,13,1.0,0,0,0,4,0,1.5031556286053218
13,12,1.0,0,0,0,4,0,1.5031556286053218
13,14,2.0,1,0,3,0,0,1.3415121133211918
14,13,2.0,1,0,3,0,0,1.3415121133211918
14,15,1.0,1,0,0,4,0,1.4455041695143653
15,14,1.0,1,0,0,4,0,1.4455041695143653
15,16,2.0,1,0,3,0,0,1.3412008722191016
16,15,2.0,1,0,3,0,0,1.3412008722191016
16,17,1.0,1,0,0,4,0,1.4782883639674285
17,16,1.0,1,0,0,4,0,1.4782883639674285
17,18,2.0,1,0,0,0,0,1.2211184188657787
18,17,2.0,1,0,0,0,0,1.2211184188657787
17,19,1.0,1,0,0,0,0,1.3520330596253562
19,17,1.0,1,0,0,0,0,1.3520330596253562
19,20,1.0,0,0,0,0,0,1.438383356426049
20,19,1.0,0,0,0,0,0,1.438383356426049
20,21,1.0,0,0,0,0,0,1.5346841818620944
21,20,1.0,0,0,0,0,0,1.5346841818620944
21,22,1.0,0,0,0,0,0,1.5320277900041102
22,21,1.0,0,0,0,0,0,1.5320277900041102
22,23,1.0,0,0,0,0,0,1.4192586525928816
23,22,1.0,0,0,0,0,0,1.4192586525928816
23,24,1.0,0,0,0,0,0,1.6156174352298502
24,23,1.0,0,0,0,0,0,1.6156174352298502
24,25,2.0,0,0,0,0,0,1.505176312775616
25,24,2.0,0,0,0,0,0,1.505176312775616
24,26,1.0,0,0,0,0,0,1.5026729089408346
26,24,1.0,0,0,0,0,0,1.5026729089408346
24,27,1.0,0,0,0,0,0,1.6238972550443171
27,24,1.0,0,0,0,0,0,1.6238972550443171
27,28,1.0,0,0,0,0,0,1.4139663133922613
28,27,1.0,0,0,0,0,0,1.4139663133922613
28,29,1.0,0,0,0,0,0,1.534804716858444
29,28,1.0,0,0,0,0,0,1.534804716858444
29,30,1.0,0,0,0,0,0,1.5533743234592066
30,29,1.0,0,0,0,0,0,1.5533743234592066
30,31,1.0,0,0,0,0,0,1.5242366546358472
31,30,1.0,0,0,0,0,0,1.5242366546358472
30,32,1.0,0,0,0,0,0,1.518950609378317
32,30,1.0,0,0,0,0,0,1.518950609378317
30,33,1.0,0,0,0,0,0,1.5220133947037415
33,30,1.0,0,0,0,0,0,1.5220133947037415
21,34,1.0,0,0,0,0,0,1.4497161406318095
34,21,1.0,0,0,0,0,0,1.4497161406318095
34,35,1.0,1,0,0,0,0,1.3573280503777128
35,34,1.0,1,0,0,0,0,1.3573280503777128
35,36,2.0,1,0,0,0,0,1.22346946325755
36,35,2.0,1,0,0,0,0,1.22346946325755
35,37,1.0,0,0,0,0,0,1.5084669906499089
37,35,1.0,0,0,0,0,0,1.5084669906499089
37,38,1.0,0,0,0,0,0,1.526628737449069
38,37,1.0,0,0,0,0,0,1.526628737449069
38,39,1.0,0,0,0,0,0,1.5329107637660389
39,38,1.0,0,0,0,0,0,1.5329107637660389
39,40,1.0,0,0,0,0,0,1.5301427468415651
40,39,1.0,0,0,0,0,0,1.5301427468415651
40,41,1.0,0,0,0,0,0,1.530130584544383
41,40,1.0,0,0,0,0,0,1.530130584544383
41,42,1.0,0,0,0,0,0,1.5304591375165306
42,41,1.0,0,0,0,0,0,1.5304591375165306
42,43,1.0,0,0,0,0,0,1.5305534155850524
43,42,1.0,0,0,0,0,0,1.5305534155850524
43,44,1.0,0,0,0,0,0,1.5304534868960507
44,43,1.0,0,0,0,0,0,1.5304534868960507
44,45,1.0,0,0,0,0,0,1.5310767328396637
45,44,1.0,0,0,0,0,0,1.5310767328396637
45,46,1.0,0,0,0,0,0,1.5316190282448587
46,45,1.0,0,0,0,0,0,1.5316190282448587
46,47,1.0,0,0,0,0,0,1.5318368591707583
47,46,1.0,0,0,0,0,0,1.5318368591707583
47,48,1.0,0,0,0,0,0,1.530529008864218
48,47,1.0,0,0,0,0,0,1.530529008864218
48,49,1.0,0,0,0,0,0,1.5313789751542422
49,48,1.0,0,0,0,0,0,1.5313789751542422
49,50,1.0,0,0,0,0,0,1.5302902489411656
50,49,1.0,0,0,0,0,0,1.5302902489411656
50,51,1.0,0,0,0,0,0,1.5209817483837795
51,50,1.0,0,0,0,0,0,1.5209817483837795
