source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5209545323843436
1,0,1.0,0,0,0,0,0,1.5209545323843436
1,2,1.0,0,0,0,0,0,1.5297237377567863
2,1,1.0,0,0,0,0,0,1.5297237377567863
2,3,1.0,0,0,0,0,0,1.531948439138762
3,2,1.0,0,0,0,0,0,1.531948439138762
3,4,1.0,0,0,0,0,0,1.5323653103754942
4,3,1.0,0,0,0,0,0,1.5323653103754942
4,5,1.0,0,0,0,0,0,1.5315267201552138
5,4,1.0,0,0,0,0,0,1.5315267201552138
5,6,1.0,0,0,0,0,0,1.5317854089124927
6,5,1.0,0,0,0,0,0,1.5317854089124927
6,7,1.0,0,0,0,0,0,1.533013763611113
7,6,1.0,0,0,0,0,0,1.533013763611113
7,8,1.0,0,0,0,0,0,1.5328158294829197
8,7,1.0,0,0,0,0,0,1.5328158294829197
8,9,1.0,0,0,0,4,0,1.5027036452415161
9,8,1.0,0,0,0,4,0,1.5027036452415161
9,10,2.0,0,0,2,0,0,1.3430472938502775
10,9,2.0,0,0,2,0,0,1.3430472938502775
10,11,1.0,0,0,0,3,0,1.5028767993331484
11,10,1.0,0,0,0,3,0,1.5028767993331484
11,12,1.0,0,0,0,0,0,1.5325325027867625
12,11,1.0,0,0,0,0,0,1.5325325027867625
12,13,1.0,0,0,0,0,0,1.5332692605533664
13,12,1.0,0,0,0,0,0,1.5332692605533664
13,14,1.0,0,0,0,0,0,1.5317567678349582
14,13,1.0,0,0,0,0,0,1.5317567678349582
14,15,1.0,0,0,0,0,0,1.5324679829161616
15,14,1.0,0,0,0,0,0,1.5324679829161616
15,16,1.0,0,0,0,0,0,1.5321769538767225
16,15,1.0,0,0,0,0,0,1.5321769538767225
16,17,1.0,0,0,0,0,0,1.5257391013490849
17,16,1.0,0,0,0,0,0,1.5257391013490849
17,18,1.0,0,0,0,0,0,1.5078821945839782
18,17,1.0,0,0,0,0,0,1.5078821945839782
18,19,2.0,1,0,0,0,0,1.2229868204212038
19,18,2.0,1,0,0,0,0,1.2229868204212038
18,20,1.0,1,0,0,0,0,1.3610528405895281
20,18,1.0,1,0,0,0,0,1.3610528405895281
20,21,1.0,0,0,0,0,0,1.4386045453156096
21,20,1.0,0,0,0,0,0,1.4386045453156096
21,22,1.0,0,0,0,0,0,1.5355387343138354
22,21,1.0,0,0,0,0,0,1.5355387343138354
22,23,1.0,0,0,0,0,0,1.5329889651745627
23,22,1.0,0,0,0,0,0,1.5329889651745627
23,24,1.0,0,0,0,0,0,1.420440746516647
24,23,1.0,0,0,0,0,0,1.420440746516647
24,25,1.0,0,0,0,0,0,1.603506746783525
25,24,1.0,0,0,0,0,0,1.603506746783525
25,26,2.0,0,0,0,0,0,1.4915716387294646
26,25,2.0,0,0,0,0,0,1.4915716387294646
25,27,1.0,0,0,0,0,0,1.601017882742504
27,25,1.0,0,0,0,0,0,1.601017882742504
25,28,1.0,0,0,0,0,0,1.6046035377909393
28,25,1.0,0,0,0,0,0,1.6046035377909393
28,29,1.0,0,0,0,0,0,1.4213373325975154
29,28,1.0,0,0,0,0,0,1.4213373325975154
29,30,1.0,0,0,0,0,0,1.5317111412981412
30,29,1.0,0,0,0,0,0,1.5317111412981412
30,31,1.0,0,0,0,0,0,1.433820818129046
31,30,1.0,0,0,0,0,0,1.433820818129046
30,32,1.0,0,0,0,0,0,1.5320449006298646
32,30,1.0,0,0,0,0,0,1.5320449006298646
32,33,1.0,0,0,0,0,0,1.426194549342133
33,32,1.0,0,0,0,0,0,1.426194549342133
22,34,1.0,0,0,0,0,0,1.4468019478610117
34,22,1.0,0,0,0,0,0,1.4468019478610117
34,35,1.0,1,0,0,0,0,1.359650410319582
35,34,1.0,1,0,0,0,0,1.359650410319582
35,36,2.0,1,0,0,0,0,1.2236348223755442
36,35,2.0,1,0,0,0,0,1.2236348223755442
35,37,1.0,0,0,0,0,0,1.5080194067716326
37,35,1.0,0,0,0,0,0,1.5080194067716326
37,38,1.0,0,0,0,0,0,1.526486348808675
38,37,1.0,0,0,0,0,0,1.526486348808675
38,39,1.0,0,0,0,0,0,1.5322424599444935
39,38,1.0,0,0,0,0,0,1.5322424599444935
39,40,1.0,0,0,0,0,0,1.5317415242690673
40,39,1.0,0,0,0,0,0,1.5317415242690673
40,41,1.0,0,0,0,0,0,1.532919627644354
41,40,1.0,0,0,0,0,0,1.532919627644354
41,42,1.0,0,0,0,0,0,1.531255296348931
42,41,1.0,0,0,0,0,0,1.531255296348931
42,43,1.0,0,0,0,0,0,1.5323644842413169
43,42,1.0,0,0,0,0,0,1.5323644842413169
43,44,1.0,0,0,0,0,0,1.5320816887050934
44,43,1.0,0,0,0,0,0,1.5320816887050934
44,45,1.0,0,0,0,0,0,1.5322045195517264
45,44,1.0,0,0,0,0,0,1.5322045195517264
45,46,1.0,0,0,0,0,0,1.5328688666254116
46,45,1.0,0,0,0,0,0,1.5328688666254116
46,47,1.0,0,0,0,0,0,1.5313606650991467
47,46,1.0,0,0,0,0,0,1.5313606650991467
47,48,1.0,0,0,0,0,0,1.5312208768250348
48,47,1.0,0,0,0,0,0,1.5312208768250348
48,49,1.0,0,0,0,0,0,1.5304919412586193
49,48,1.0,0,0,0,0,0,1.5304919412586193
49,50,1.0,0,0,0,0,0,1.5209246794636588
50,49,1.0,0,0,0,0,0,1.5209246794636588
