source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5209688136724329
1,0,1.0,0,0,0,0,0,1.5209688136724329
1,2,1.0,0,0,0,0,0,1.5293865675661917
2,1,1.0,0,0,0,0,0,1.5293865675661917
2,3,1.0,0,0,0,0,0,1.530949953681709
3,2,1.0,0,0,0,0,0,1.530949953681709
3,4,1.0,0,0,0,0,0,1.531498536645809
4,3,1.0,0,0,0,0,0,1.531498536645809
4,5,1.0,0,0,0,0,0,1.5313013812366552
5,4,1.0,0,0,0,0,0,1.5313013812366552
5,6,1.0,0,0,0,0,0,1.5315518639475516
6,5,1.0,0,0,0,0,0,1.5315518639475516
6,7,1.0,0,0,0,0,0,1.5316514738290568
7,6,1.0,0,0,0,0,0,1.5316514738290568
7,8,1.0,0,0,0,0,0,1.5311950669635992
8,7,1.0,0,0,0,0,0,1.5311950669635992
8,9,1.0,0,0,0,0,0,1.531776415451043
9,8,1.0,0,0,0,0,0,1.531776415451043
9,10,1.0,0,0,0,0,0,1.5319484155802787
10,9,1.0,0,0,0,0,0,1.5319484155802787
10,11,1.0,0,0,0,0,0,1.5334367535006288
11,10,1.0,0,0,0,0,0,1.5334367535006288
11,12,1.0,0,0,0,0,0,1.5315905338229623
12,11,1.0,0,0,0,0,0,1.5315905338229623
12,13,1.0,0,0,0,4,0,1.5022438155214757
13,12,1.0,0,0,0,4,0,1.5022438155214757
13,14,2.0,0,0,3,0,0,1.3439359487241997
14,13,2.0,0,0,3,0,0,1.3439359487241997
14,15,1.0,0,0,0,4,0,1.5117249774059438
15,14,1.0,0,0,0,4,0,1.5117249774059438
15,16,1.0,0,0,0,0,0,1.4307821164314667
16,15,1.0,0,0,0,0,0,1.4307821164314667
15,17,1.0,0,0,0,0,0,1.5584077272957608
17,15,1.0,0,0,0,0,0,1.5584077272957608
17,18,1.0,0,0,0,0,0,1.5407240306044345
18,17,1.0,0,0,0,0,0,1.5407240306044345
18,19,1.0,0,0,0,0,0,1.4201310118746644
19,18,1.0,0,0,0,0,0,1.4201310118746644
19,20,1.0,0,0,0,0,0,1.615510115221983
20,19,1.0,0,0,0,0,0,1.615510115221983
20,21,2.0,0,0,0,0,0,1.503509270946271
21,20,2.0,0,0,0,0,0,1.503509270946271
20,22,1.0,0,0,0,0,0,1.5050992949401987
22,20,1.0,0,0,0,0,0,1.5050992949401987
20,23,1.0,0,0,0,0,0,1.623430810682451
23,20,1.0,0,0,0,0,0,1.623430810682451
23,24,1.0,0,0,0,0,0,1.414328730148198
24,23,1.0,0,0,0,0,0,1.414328730148198
24,25,1.0,0,0,0,0,0,1.5331370178921564
25,24,1.0,0,0,0,0,0,1.5331370178921564
25,26,1.0,0,0,0,0,0,1.5526455945329691
26,25,1.0,0,0,0,0,0,1.5526455945329691
26,27,1.0,0,0,0,0,0,1.5210571677178308
27,26,1.0,0,0,0,0,0,1.5210571677178308
26,28,1.0,0,0,0,0,0,1.5261403610517472
28,26,1.0,0,0,0,0,0,1.5261403610517472
26,29,1.0,0,0,0,0,0,1.5200053893565175
29,26,1.0,0,0,0,0,0,1.5200053893565175
17,30,1.0,0,0,0,0,0,1.473971816799807
30,17,1.0,0,0,0,0,0,1.473971816799807
30,31,1.0,1,0,0,0,0,1.3760289288801393
31,30,1.0,1,0,0,0,0,1.3760289288801393
31,32,2.0,1,0,0,0,0,1.2262694481367091
32,31,2.0,1,0,0,0,0,1.2262694481367091
31,33,1.0,0,0,0,0,0,1.5161300479271795
33,31,1.0,0,0,0,0,0,1.5161300479271795
33,34,1.0,0,0,0,0,0,1.5284822621553862
34,33,1.0,0,0,0,0,0,1.5284822621553862
34,35,1.0,0,0,0,0,0,1.5325458430969248
35,34,1.0,0,0,0,0,0,1.5325458430969248
35,36,1.0,0,0,0,0,0,1.5308804570286494
36,35,1.0,0,0,0,0,0,1.5308804570286494
36,37,1.0,0,0,0,0,0,1.5316669575421493
37,36,1.0,0,0,0,0,0,1.5316669575421493
37,38,1.0,0,0,0,0,0,1.531147548724079
38,37,1.0,0,0,0,0,0,1.531147548724079
38,39,1.0,0,0,0,0,0,1.5319698816533767
39,38,1.0,0,0,0,0,0,1.5319698816533767
39,40,1.0,0,0,0,0,0,1.5312942653405088
40,39,1.0,0,0,0,0,0,1.5312942653405088
40,41,1.0,0,0,0,0,0,1.5310737198971192
41,40,1.0,0,0,0,0,0,1.5310737198971192
41,42,1.0,0,0,0,0,0,1.5319091959738318
42,41,1.0,0,0,0,0,0,1.5319091959738318
42,43,1.0,0,0,0,0,0,1.5322535235457635
43,42,1.0,0,0,0,0,0,1.5322535235457635
43,44,1.0,0,0,0,0,0,1.5310159267694654
44,43,1.0,0,0,0,0,0,1.5310159267694654
44,45,1.0,0,0,0,0,0,1.5318957731842446
45,44,1.0,0,0,0,0,0,1.5318957731842446
45,46,1.0,0,0,0,0,0,1.5307716130289255
46,45,1.0,0,0,0,0,0,1.5307716130289255
46,47,1.0,0,0,0,0,0,1.5316081274322495
47,46,1.0,0,0,0,0,0,1.5316081274322495
47,48,1.0,0,0,0,0,0,1.5301526769412224
48,47,1.0,0,0,0,0,0,1.5301526769412224
48,49,1.0,0,0,0,0,0,1.5208833872590042
49,48,1.0,0,0,0,0,0,1.5208833872590042
